Time	X	Y	Theta	LS_X	LS_Y	RS_X	RS_Y	RsRoL	RsRoR	VL	VR
3547949237.745891	39.146275	550.421411	179.297989	41.173595	559.190104	37.118955	541.652719	-0.020139	-0.000000	1.329423	1.505376
3547949238.451387	39.171076	550.420884	179.391968	42.012310	558.960637	36.329843	541.881130	-0.015049	-0.004660	1.334311	1.500489
3547949239.166893	39.177686	550.427626	179.342010	41.588929	559.098607	36.766442	541.756645	-0.020139	-0.004660	1.329423	1.500489
3547949239.865387	39.170846	550.423709	179.349472	41.646721	559.076457	36.694972	541.770961	-0.025267	-0.014073	1.324536	1.490714
3547949240.631931	39.178605	550.416651	179.178909	40.149862	559.364089	38.207348	541.469212	-0.009996	-0.009351	1.339198	1.495601
3547949241.322413	39.176458	550.421480	179.320663	41.402066	559.141954	36.950850	541.701006	-0.015049	-0.004660	1.334311	1.500489
3547949242.001894	39.182213	550.430523	179.452194	42.532303	558.783780	35.832123	542.077267	-0.015049	-0.004660	1.334311	1.500489
3547949242.718398	39.168183	550.418704	179.367432	41.799049	559.025593	36.537316	541.811815	-0.025267	-0.009351	1.324536	1.495601
3547949243.394878	39.172473	550.420252	179.364441	41.777587	559.034970	36.567358	541.805533	-0.035637	-0.014073	1.314761	1.490714
3547949244.072355	39.175532	550.423903	179.313828	41.341476	559.159387	37.009587	541.688419	-0.025267	-0.009351	1.324536	1.495601
3547949244.755836	39.174157	550.422463	179.288406	41.117359	559.210180	37.230954	541.634747	-0.015049	-0.033274	1.334311	1.471163
3547949245.404293	39.179172	550.418862	179.343994	41.607611	559.085043	36.750733	541.752682	0.009852	-0.023610	1.358749	1.480938
3547949246.088777	39.167867	550.427504	179.349335	41.642553	559.080592	36.693180	541.774416	-0.009996	-0.009351	1.339198	1.495601
3547949246.835307	39.165508	550.427432	179.258652	40.846413	559.269070	37.484602	541.585794	-0.020139	0.018343	1.329423	1.524927
3547949247.528791	39.167500	550.420621	179.351425	41.660270	559.068517	36.674730	541.772726	-0.035637	-0.014073	1.314761	1.490714
3547949248.221280	39.173033	550.421638	179.384094	41.946941	558.983497	36.399125	541.859778	-0.015049	-0.018826	1.334311	1.485826
3547949248.909767	39.174483	550.416389	179.419617	42.250716	558.874331	36.098251	541.958446	-0.020139	-0.009351	1.329423	1.495601
3547949249.616266	39.172401	550.419530	179.263931	40.899963	559.252170	37.444839	541.586890	-0.015049	-0.000000	1.334311	1.505376
3547949250.294744	39.962089	550.424011	180.980347	48.450569	547.433073	31.473609	553.414948	-0.009996	-0.014073	1.339198	1.490714
3547949250.979228	51.117909	551.419479	188.323364	52.660016	542.552580	49.575802	560.286379	-0.009996	-0.004660	1.339198	1.500489
3547949251.706740	68.235862	552.691232	179.669968	73.311600	560.123385	63.160125	545.259080	-0.015049	-0.014073	1.334311	1.490714
3547949253.130744	110.416867	540.860863	149.957520	117.112211	534.846515	103.721523	546.875210	-0.020139	-0.000000	1.329423	1.505376
3547949253.822231	130.111170	525.446949	134.745026	127.080460	533.921310	133.141880	516.972588	-0.020139	0.022856	1.329423	1.529814
3547949254.533733	144.507625	507.885098	124.021793	153.484875	508.524607	135.530374	507.245589	-0.040880	-0.014073	1.309873	1.490714
3547949255.167182	156.052171	486.448458	111.416882	164.998113	487.433400	147.106228	485.463516	-0.030433	-0.014073	1.319648	1.490714
3547949255.831649	161.867120	465.234939	98.607891	170.314424	468.340266	153.419816	462.129612	-0.025267	-0.023610	1.324536	1.480938
3547949256.558163	162.764978	444.061835	87.019043	170.062355	438.794172	155.467600	449.329499	-0.025267	-0.043067	1.324536	1.461388
3547949257.954147	152.241427	400.282199	63.005440	150.686981	391.417455	153.795873	409.146944	-0.046162	-0.009351	1.304985	1.495601
3547949258.683661	139.841269	381.583483	49.311785	147.181317	376.375441	132.501222	386.791525	-0.040880	-0.014073	1.309873	1.490714
3547949260.060633	109.530042	357.356790	27.484421	103.137413	363.691953	115.922671	351.021627	-0.025267	-0.018826	1.324536	1.485826
3547949260.741113	91.939990	350.384141	13.884015	83.226839	348.130031	100.653140	352.638250	-0.040880	-0.023610	1.309873	1.480938
3547949261.434603	72.809852	347.604212	1.932951	64.393631	350.792819	81.226074	344.415604	-0.030433	-0.023610	1.319648	1.480938
3547949262.110079	53.903270	348.663309	352.064941	52.057385	339.854637	55.749155	357.471982	-0.040880	-0.018826	1.309873	1.485826
3547949262.759542	35.269404	352.979576	342.874023	39.106313	361.120714	31.432495	344.838438	-0.030433	-0.038154	1.319648	1.466276
3547949274.602893	101.372027	353.223021	146.144485	92.388453	353.766534	110.355600	352.679508	-0.056846	-0.023610	1.295210	1.480938
3547949275.279370	119.069986	339.401096	135.782074	124.823702	346.321700	113.316271	332.480493	-0.030433	-0.052991	1.319648	1.451613
3547949275.960851	134.915647	321.400906	126.188113	130.409351	313.610315	139.421943	329.191496	-0.046162	-0.023610	1.304985	1.480938
3547949276.790436	146.895937	302.022121	115.452410	140.524851	308.378948	153.267024	295.665293	-0.040880	-0.028426	1.309873	1.476051
3547949277.482924	155.686187	277.844968	102.450966	147.229381	280.924323	164.142994	274.765613	-0.025267	-0.018826	1.324536	1.485826
3547949278.195427	159.020205	249.203536	88.577869	153.840266	241.843629	164.200145	256.563442	0.161887	-0.009351	1.529814	1.495601
3547949279.547382	146.789642	205.298401	59.142000	142.098813	212.979294	151.480471	197.617507	0.385166	-0.028426	1.876833	1.476051
3547949280.210851	133.767947	188.738351	43.300655	139.438566	181.749497	128.097327	195.727205	0.414993	-0.028426	1.935484	1.476051
3547949283.001818	59.668406	182.482014	321.599854	51.426540	178.866541	67.910271	186.097487	0.405254	-0.023610	1.915934	1.480938
3547949283.692307	45.810575	198.700146	297.783966	40.240514	205.769404	51.380637	191.630887	0.402788	-0.023610	1.911046	1.480938
3547949284.351770	39.988241	216.570234	276.450409	40.075940	207.570661	39.900541	225.569807	0.390266	-0.028426	1.886608	1.476051
3547949285.051265	41.602687	237.223009	255.617310	49.811317	240.913318	33.394056	233.532700	0.377415	-0.052991	1.862170	1.451613
3547949285.751758	49.460197	253.641316	235.134842	45.267451	261.605039	53.652944	245.677594	0.364223	-0.018826	1.837732	1.485826
3547949286.406220	65.214456	268.396882	212.405716	73.674315	265.325925	56.754596	271.467840	0.331083	-0.023610	1.779081	1.480938
3547949287.078696	85.445485	275.916766	190.131882	76.464800	276.506080	94.426170	275.327452	0.342369	-0.038154	1.798631	1.466276
3547949287.748167	107.153193	275.315248	166.799271	109.768646	283.926833	104.537740	266.703662	0.304757	-0.048012	1.735093	1.456500
3547949288.444657	125.485855	263.884287	137.334661	132.510078	258.257539	118.461632	269.511035	0.298725	-0.028426	1.725318	1.476051
3547949289.130142	136.996946	246.633857	106.351933	141.010354	238.578265	132.983539	254.689448	0.280210	-0.052991	1.695992	1.451613
3547949289.828635	137.263215	225.711313	76.010162	132.093116	218.344490	142.433314	233.078136	0.270711	-0.028426	1.681329	1.476051
3547949290.517122	127.432872	205.494720	51.771246	118.451897	204.909838	136.413847	206.079603	0.251206	0.009231	1.652004	1.515152
3547949291.189594	112.050133	192.329790	31.001064	115.677708	184.093244	108.422558	200.566337	0.237814	-0.048012	1.632454	1.456500
3547949291.890088	92.589861	184.693225	11.170053	101.453215	183.130867	83.726507	186.255582	0.230996	-0.028426	1.622678	1.476051
3547949293.301084	51.629518	188.869674	335.748383	48.107921	197.152087	55.151115	180.587262	0.195640	-0.038154	1.573803	1.466276
3547949294.002579	33.820987	200.471111	315.849731	24.885354	201.545570	42.756620	199.396652	0.210043	0.004630	1.593353	1.510264
