Time	X	Y	Theta	LS_X	LS_Y	RS_X	RS_Y	RsRoL	RsRoR	VL	VR
3547946752.035388	50.548473	549.834796	175.869370	51.086524	540.850894	50.010422	558.818698	-0.029810	0.000000	1.363636	1.544477
3547946752.710861	50.793627	549.822553	174.941956	58.304168	544.863544	43.283086	554.781562	-0.034904	-0.009216	1.358749	1.534702
3547946753.419362	50.797939	549.815405	174.976486	58.132799	544.600060	43.463078	555.030750	-0.040034	-0.009216	1.353861	1.534702
3547946754.087833	50.802688	549.818744	174.886368	58.577147	545.284674	43.028230	554.352814	-0.040034	-0.032779	1.353861	1.510264
3547946754.742294	50.796244	549.816109	174.932251	58.354556	544.930219	43.237932	554.701999	-0.024753	0.013608	1.368524	1.559140
3547946755.394755	50.804218	549.822905	174.951477	58.267202	544.792610	43.341234	554.853200	-0.014747	-0.052185	1.378299	1.490714
3547946756.103255	50.801723	549.817355	174.818619	58.865290	545.819995	42.738155	553.814714	-0.040034	-0.009216	1.353861	1.534702
3547946756.787741	50.790011	549.813230	174.843475	58.751737	545.616693	42.828285	554.009766	-0.019732	-0.018551	1.373412	1.524927
3547946757.435198	50.793896	549.814809	175.051010	57.720089	544.067823	43.867703	555.561795	-0.029810	-0.028006	1.363636	1.515152
3547946758.122680	50.798308	549.815495	174.935089	58.342723	544.908173	43.253894	554.722817	-0.029810	0.018087	1.363636	1.564027
3547946758.826175	50.797228	549.813194	174.909332	58.465523	545.101798	43.128932	554.524589	-0.029810	-0.009216	1.363636	1.534702
3547946759.519666	50.790593	549.816199	174.872711	58.626245	545.388721	42.954941	554.243677	-0.014747	-0.013869	1.378299	1.529814
3547946760.204148	50.793882	549.815405	174.967911	58.173195	544.663151	43.414568	554.967660	-0.029810	-0.023263	1.363636	1.520039
3547946760.897637	50.805184	549.815495	174.967041	58.188976	544.669661	43.421391	554.961329	-0.034904	-0.037583	1.358749	1.505376
3547946761.584123	50.786471	549.816583	174.921204	58.398297	545.014489	43.174646	554.618677	-0.040034	-0.013869	1.353861	1.529814
3547946762.232579	50.812802	549.815987	174.866684	58.674997	545.435816	42.950607	554.196157	-0.034904	-0.023263	1.358749	1.520039
