Time	X	Y	Theta	LS_X	LS_Y	RS_X	RS_Y	RsRoL	RsRoR	VL	VR
3547940759.430266	42.420461	549.794650	179.846268	48.721033	556.221375	36.119890	543.367925	-0.046691	-0.008631	1.529814	1.744868
3547940760.136766	42.419352	549.797214	179.865433	48.841927	556.102015	35.996776	543.492412	-0.046691	-0.004304	1.529814	1.749756
3547940760.818248	42.424974	549.788396	179.996811	49.618134	555.197504	35.231814	544.379288	-0.056390	-0.017360	1.520039	1.735093
3547940761.500726	42.422497	549.791031	180.027283	49.777118	554.978473	35.067876	544.603589	-0.041888	-0.057886	1.534702	1.691105
3547940762.169199	42.427017	549.788748	179.924942	49.213196	555.700412	35.640838	543.877084	-0.041888	-0.017360	1.534702	1.735093
3547940762.845683	42.432826	549.791505	179.899963	49.069238	555.870817	35.796414	543.712194	-0.066214	-0.017360	1.510264	1.735093
3547940763.503140	42.427344	549.795684	179.880112	48.941772	556.005533	35.912916	543.585835	-0.066214	-0.017360	1.510264	1.735093
3547940764.193625	42.431483	549.798653	179.947205	49.347579	555.557787	35.515388	544.039520	-0.056390	-0.026187	1.520039	1.725318
3547940764.966173	42.425297	549.797756	179.851242	48.757760	556.193060	36.092835	543.402451	-0.032373	-0.035115	1.544477	1.715543
3547940765.633641	42.427085	549.791243	179.921143	49.190755	555.728648	35.663416	543.853838	-0.071173	-0.035115	1.505376	1.715543
3547940766.359156	42.429911	549.795472	179.932465	49.260369	555.655920	35.599453	543.935025	-0.071173	-0.035115	1.505376	1.715543
3547940766.993607	42.431541	549.796790	180.015594	49.725028	555.069838	35.138053	544.523742	-0.071173	-0.035115	1.505376	1.715543
3547940767.690093	42.438534	549.794000	179.965088	49.456511	555.428537	35.420558	544.159464	-0.076166	-0.030638	1.500489	1.720430
3547940768.322538	42.429896	549.791085	179.949753	49.360645	555.532576	35.499148	544.049594	-0.071173	-0.030638	1.505376	1.720430
3547940768.962991	42.416806	549.797264	179.902435	49.068226	555.860152	35.765387	543.734376	-0.076166	-0.035115	1.500489	1.715543
3547940769.649474	42.438649	549.798021	179.968735	49.477128	555.406927	35.400171	544.189116	-0.076166	-0.062520	1.500489	1.686217
3547940770.321949	42.424633	549.789294	179.923248	49.200790	555.712443	35.648476	543.866144	-0.081190	-0.062520	1.495601	1.686217
3547940771.000429	42.431749	549.798495	179.932541	49.262654	555.658422	35.600844	543.938569	-0.081190	-0.035115	1.495601	1.715543
3547940771.709929	42.436531	549.797196	179.976181	49.516579	555.353536	35.356483	544.240855	-0.086248	-0.071868	1.490714	1.676442
3547940772.400416	42.435479	549.798897	180.056580	49.938898	554.768677	34.932060	544.829118	-0.096464	-0.071868	1.480938	1.676442
3547940773.088903	42.426023	549.796880	179.960464	49.417873	555.463803	35.434172	544.129956	-0.101623	-0.076583	1.476051	1.671554
3547940773.758379	42.434740	549.799479	180.000580	49.648235	555.181438	35.221244	544.417520	-0.091339	-0.053279	1.485826	1.695992
3547940774.433852	42.429185	549.805661	179.890350	49.006852	555.948487	35.851519	543.662836	0.013983	0.004355	1.485826	1.695992
3547940775.055288	42.434086	549.803762	179.936554	49.288452	555.636229	35.579720	543.971296	0.027692	-0.022157	1.500489	1.666667
3547940775.753782	42.426040	549.802516	179.932297	49.255515	555.664110	35.596566	543.940923	-0.000000	-0.000000	1.471163	1.691105
3547940776.420252	42.435443	549.799371	179.924957	49.221713	555.710932	35.649174	543.887811	-0.000000	-0.004380	1.471163	1.686217
3547940777.112741	42.424087	549.799461	180.000626	49.637829	555.181090	35.210345	544.417832	0.004692	0.021525	1.476051	1.715543
3547940777.793222	42.436843	549.799213	180.050369	49.909254	554.815495	34.964433	544.782932	0.004692	-0.008785	1.476051	1.681329
3547940778.474700	42.423832	549.803712	180.036316	49.825012	554.924507	35.022653	544.682916	0.009352	-0.004380	1.480938	1.686217
3547940779.142172	42.427372	549.794823	180.088272	50.084502	554.524344	34.770243	545.065301	0.004692	-0.004380	1.476051	1.686217
3547940779.782632	42.509272	549.800689	180.108505	50.260521	554.374325	34.758024	545.227053	0.023152	-0.004380	1.495601	1.686217
3547940780.435084	50.910179	549.931121	182.909637	45.131078	543.031702	56.689280	556.830541	0.004692	-0.008785	1.476051	1.681329
3547940781.075537	65.432163	550.558586	180.264206	73.798890	553.874891	57.065436	547.242281	-0.004723	-0.031202	1.466276	1.656891
3547940781.730003	85.201573	549.924411	174.708191	93.656549	546.840033	76.746597	553.008789	-0.000000	-0.017673	1.471163	1.671554
3547940782.370450	103.872336	547.371197	169.705399	103.338093	538.387067	104.406579	556.355326	0.027692	-0.031202	1.500489	1.656891
3547940783.049931	124.621830	542.796379	164.530022	116.344926	539.261856	132.898734	546.330903	-0.019083	-0.022157	1.451613	1.666667
3547940784.409888	166.763912	522.590125	139.256454	159.065056	517.928837	174.462769	527.251412	0.009352	-0.022157	1.480938	1.666667
3547940785.050341	182.478912	503.453632	119.054359	185.362595	494.928119	179.595230	511.979146	-0.000000	-0.017673	1.471163	1.671554
3547940786.351260	194.097194	461.707808	93.128616	202.194814	457.779889	185.999574	465.635727	-0.009478	-0.026666	1.461388	1.661779
3547940786.982705	193.067378	440.706754	81.177330	197.414388	432.826177	188.720367	448.587332	-0.004723	-0.040355	1.466276	1.647116
3547940788.279619	180.406650	403.449125	61.071220	189.244966	405.147408	171.568333	401.750841	-0.019083	-0.022157	1.451613	1.666667
3547940788.978116	168.823703	386.347298	49.737339	173.359078	378.573601	164.288327	394.120995	-0.019083	-0.040355	1.451613	1.647116
3547940789.660594	153.387602	371.348072	38.608053	146.287920	365.816841	160.487284	376.879303	-0.014264	-0.031202	1.456500	1.656891
3547940791.075591	118.073164	354.589857	10.778808	126.862546	356.525515	109.283783	352.654200	-0.028818	-0.035765	1.441838	1.652004
3547940791.728057	101.043357	353.139814	358.849365	95.191865	346.301684	106.894850	359.977945	-0.033736	-0.040355	1.436950	1.647116
3547940792.400525	82.243534	355.099021	349.055115	85.230745	363.588813	79.256322	346.609229	-0.038687	-0.026666	1.432063	1.661779
3547940794.416957	32.209548	372.791839	335.502625	26.778722	379.968616	37.640374	365.615062	-0.033736	-0.040355	1.436950	1.647116
3547940795.095428	16.825430	380.073160	328.574188	8.170371	382.540945	25.480489	377.605376	-0.023934	-0.022157	1.446725	1.666667
3547940795.828945	15.047636	383.037397	259.488281	6.468129	385.756232	23.627143	380.318561	-0.033736	-0.035765	1.436950	1.652004
3547940796.463392	19.046544	385.928536	206.239838	27.088844	381.888558	11.004245	389.968514	-0.033736	-0.054290	1.436950	1.632454
3547940797.119855	33.845817	392.595960	200.052658	41.463815	387.803664	26.227818	397.388255	-0.033736	-0.031202	1.436950	1.656891
3547940797.756304	52.194014	397.854958	190.135590	43.215575	398.477567	61.172452	397.232350	-0.048691	-0.044973	1.422287	1.642229
3547940798.429780	70.659790	399.337227	178.352997	64.740333	406.116610	76.579246	392.557844	-0.033736	-0.035765	1.436950	1.652004
3547940799.134275	91.929284	396.737484	167.722183	100.374268	399.849114	83.484300	393.625854	-0.019083	-0.058991	1.451613	1.627566
3547940799.817762	114.529755	389.770090	157.381439	111.854545	381.176881	117.204965	398.363300	-0.038687	-0.058991	1.432063	1.627566
3547940800.496237	135.387376	379.439179	150.289017	139.760775	371.573216	131.013977	387.305143	-0.033736	-0.058991	1.436950	1.627566
3547940801.863201	174.916477	352.462183	139.690475	165.971266	351.470622	183.861689	353.453745	-0.043671	-0.063720	1.427175	1.622678
3547940802.527670	193.215158	335.704213	134.841904	191.018355	344.431988	195.411961	326.976438	-0.074313	-0.022157	1.397849	1.666667
3547940803.170124	210.174026	318.481134	130.857971	218.149169	314.310152	202.198882	322.652116	-0.043671	-0.058991	1.427175	1.627566
3547940803.854607	224.630861	300.204217	125.484348	226.236441	291.348591	223.025281	309.059843	-0.058833	-0.058991	1.412512	1.627566
3547940804.505067	238.835850	278.736594	120.490253	230.775632	274.732485	246.896068	282.740703	-0.053744	-0.044973	1.417400	1.642229
3547940805.139513	249.834332	258.556679	115.327724	242.722155	264.071833	256.946510	253.041524	-0.053744	-0.022157	1.417400	1.666667
3547940805.829005	254.528027	248.922042	111.839272	263.091495	246.153105	245.964558	251.690978	-0.043671	-0.054290	1.427175	1.632454
3547940806.506484	254.530339	248.908399	111.808487	263.174977	246.404356	245.885701	251.412442	-0.069117	-0.058991	1.402737	1.627566
3547940807.182954	254.520103	248.905986	111.885864	262.945313	245.741204	246.094894	252.070768	-0.058833	-0.058991	1.412512	1.627566
3547940807.880446	254.518506	248.907781	111.849968	263.051867	246.047407	245.985144	251.768156	-0.063957	-0.063720	1.407625	1.622678
3547940808.568932	254.519823	248.906833	111.992737	262.559378	244.861397	246.480268	252.952270	-0.033736	-0.073264	1.436950	1.612903
3547940809.233402	254.530569	248.898605	111.956535	262.711275	245.146799	246.349863	252.650410	-0.063957	-0.102604	1.407625	1.583578
3547940809.919887	254.538360	248.908241	111.834953	263.113705	246.176309	245.963014	251.640172	-0.069117	-0.068478	1.402737	1.617791
3547940810.600366	256.096274	244.464192	111.837158	264.665575	241.713359	247.526973	247.215024	-0.058833	-0.068478	1.412512	1.617791
3547940811.231811	268.570812	222.059925	123.712372	276.926997	225.402705	260.214628	218.717145	-0.063957	-0.073264	1.407625	1.612903
3547940811.899283	282.623057	202.330854	126.735420	274.720857	198.023275	290.525256	206.638434	-0.053744	-0.068478	1.417400	1.617791
3547940812.630798	288.715375	190.792361	71.404495	281.941180	196.717755	295.489569	184.866968	-0.038687	-0.063720	1.432063	1.622678
3547940813.357311	286.608505	189.084182	350.025360	295.300855	191.417216	277.916155	186.751148	-0.063957	-0.082925	1.407625	1.603128
3547940814.691253	259.928167	197.921587	339.127899	261.398514	189.042506	258.457821	206.800668	-0.033736	-0.068478	1.436950	1.617791
3547940815.335707	243.392535	204.725209	335.812775	240.411190	213.217063	246.373880	196.233355	-0.090121	-0.082925	1.383187	1.603128
3547940815.989169	226.644395	212.834232	330.623322	232.819153	219.381931	220.469637	206.286532	-0.079545	-0.078080	1.392962	1.608016
3547940816.683659	209.677302	223.526110	323.635712	210.142110	232.514099	209.212494	214.538120	-0.069117	-0.107600	1.402737	1.578690
