Time	X	Y	Theta	LS_X	LS_Y	RS_X	RS_Y	RsRoL	RsRoR	VL	VR
3547958846.428551	42.936008	552.309141	177.191010	34.362198	549.572396	51.509819	555.045885	-0.029810	-0.017858	1.363636	1.637341
3547958847.107028	47.018383	551.732395	177.112198	38.686650	548.329128	55.350117	555.135661	-0.050407	-0.022389	1.344086	1.632454
3547958847.756486	47.002626	551.724755	177.371323	38.077016	550.569986	55.928236	552.879523	-0.019732	-0.031534	1.373412	1.622678
3547958848.441971	47.006349	551.726001	177.346970	38.111505	550.354230	55.901193	553.097771	-0.024753	-0.040789	1.368524	1.612903
3547958849.074415	47.000903	551.728654	177.417023	38.031857	550.982850	55.969948	552.474458	-0.024753	-0.045459	1.368524	1.608016
3547958849.793923	47.001703	551.729006	177.434372	38.021069	551.138912	55.982337	552.319099	-0.019732	-0.074086	1.373412	1.578690
3547958850.507427	47.003125	551.725509	177.332626	38.128871	550.226303	55.877379	553.224715	-0.029810	-0.069241	1.363636	1.583578
3547958851.223932	47.011278	551.722051	177.480011	38.013074	551.542298	56.009483	551.901805	-0.040034	-0.059641	1.353861	1.593353
3547958851.971459	47.003337	551.723333	177.461624	38.009958	551.378171	55.996716	552.068496	-0.029810	-0.074086	1.363636	1.578690
3547958852.654942	47.002321	551.717589	177.533890	38.007493	552.022674	55.997148	551.412504	-0.034904	-0.083866	1.358749	1.568915
3547958853.322414	46.996214	551.723613	177.360504	38.083619	550.472353	55.908809	552.974874	-0.050407	-0.083866	1.344086	1.568915
3547958853.999890	46.997847	551.725563	177.355713	38.091350	550.431614	55.904345	553.019511	-0.050407	-0.078961	1.344086	1.573803
3547958854.692381	47.001768	551.720558	177.496475	38.001823	551.688971	56.001713	551.752145	-0.045201	-0.045459	1.348974	1.608016
3547958855.342840	47.000127	551.723491	177.367828	38.078607	550.537541	55.921647	552.909441	-0.055650	-0.093769	1.339198	1.559140
3547958856.051337	46.996874	551.730833	177.350159	38.097701	550.387436	55.896048	553.074230	-0.045201	-0.093769	1.348974	1.559140
3547958856.737823	46.995805	551.730901	177.362167	38.081141	550.494466	55.910468	552.967337	-0.045201	-0.113952	1.348974	1.539589
3547958857.428309	47.010629	551.733289	177.426041	38.035222	551.068397	55.986035	552.398181	-0.055650	-0.103797	1.339198	1.549365
3547958858.117796	47.008245	551.720594	177.360199	38.096032	550.466613	55.920457	552.974574	-0.066251	-0.103797	1.329423	1.549365
3547958858.787270	47.014230	551.719488	177.326874	38.148747	550.169258	55.879712	553.269718	-0.050407	-0.113952	1.344086	1.539589
3547958859.484768	47.000709	551.725021	177.414810	38.033335	550.959374	55.968082	552.490667	-0.060931	-0.119078	1.334311	1.534702
3547958860.164239	47.001574	551.722278	177.489349	38.002083	551.626559	56.001065	551.817996	0.024368	-0.000000	1.373412	1.529814
3547958860.855729	47.009092	551.725125	177.438889	38.025884	551.175599	55.992300	552.274650	-0.035637	0.009148	1.314761	1.539589
3547958861.511191	47.009236	551.721280	177.436111	38.027589	551.146809	55.990883	552.295750	-0.020139	-0.018652	1.329423	1.510264
3547958862.175663	46.994124	551.718644	177.465698	37.999414	551.410125	55.988835	552.027164	-0.009996	0.035909	1.339198	1.568915
3547958862.891166	46.996225	551.720138	177.420242	38.024824	551.003215	55.967625	552.437061	-0.004980	-0.009266	1.344086	1.520039
3547958863.620679	47.010230	551.724087	177.322861	38.151040	550.138291	55.869420	553.309883	-0.009996	-0.028160	1.339198	1.500489
3547958864.296156	47.007519	551.719064	177.313416	38.163702	550.049664	55.851337	553.388465	-0.030433	-0.009266	1.319648	1.520039
3547958864.975635	47.012671	551.718170	177.411621	38.047785	550.923930	55.977558	552.512410	-0.015049	-0.004618	1.334311	1.524927
3547958865.687136	46.998185	551.721104	177.328979	38.129457	550.189545	55.866912	553.252662	-0.025267	-0.004618	1.324536	1.524927
3547958866.390634	47.009526	551.719064	177.367798	38.088042	550.532842	55.931010	552.905286	-0.035637	-0.013944	1.314761	1.515152
3547958867.051099	46.993812	551.718838	177.421829	38.021285	551.016153	55.966339	552.421524	-0.015049	-0.013944	1.334311	1.515152
3547958867.703559	46.995819	551.719678	177.400009	38.040760	550.821395	55.950878	552.617962	-0.009996	-0.037793	1.339198	1.490714
3547958868.379038	47.015203	551.718748	177.392654	38.066992	550.754627	55.963413	552.682869	-0.020139	0.004589	1.329423	1.534702
3547958869.062518	46.988247	551.719100	177.349442	38.090040	550.369322	55.886455	553.068879	-0.020139	-0.013944	1.329423	1.515152
3547958869.765013	47.003954	551.716343	177.371078	38.078627	550.559395	55.929282	552.873291	-0.000000	-0.028160	1.348974	1.500489
3547958870.484524	47.000246	551.714781	177.323929	38.139367	550.138449	55.861125	553.291113	-0.009996	-0.037793	1.339198	1.490714
3547958871.151991	47.001312	551.710864	177.327759	38.134461	550.168481	55.868163	553.253248	-0.020139	-0.028160	1.329423	1.500489
3547958871.837475	47.005530	551.719556	177.393021	38.056968	550.758712	55.954093	552.680400	-0.009996	-0.013944	1.339198	1.515152
3547958872.519956	46.994494	551.713360	177.416595	38.025768	550.963724	55.963220	552.462995	-0.020139	-0.037793	1.329423	1.490714
3547958873.179422	47.004992	551.716117	177.374771	38.075453	550.592135	55.934531	552.840099	-0.004980	-0.023390	1.344086	1.505376
3547958873.851897	47.008873	551.710968	177.435867	38.027366	551.134305	55.990379	552.287632	-0.009996	-0.037793	1.339198	1.490714
