Time	X	Y	Theta	LS_X	LS_Y	RS_X	RS_Y	RsRoL	RsRoR	VL	VR
3547944005.261374	41.801674	550.726177	180.242752	50.095334	554.221204	33.508015	547.231151	-0.034446	-0.041888	1.388074	1.534702
3547944005.917837	41.793711	550.723664	180.254578	50.128120	554.120371	33.459302	547.326957	-0.049735	-0.037116	1.373412	1.539589
3547944006.644350	41.804884	550.723190	180.353088	50.432957	553.283728	33.176811	548.162652	-0.034446	0.008993	1.388074	1.588465
3547944007.332836	41.802855	550.726371	180.371216	50.475924	553.130092	33.129786	548.322650	-0.034446	-0.032373	1.388074	1.544477
3547944008.050342	41.802615	550.721014	180.204163	49.955262	554.533408	33.649967	546.908621	-0.044602	-0.046691	1.378299	1.529814
3547944008.881928	41.806018	550.720293	180.259415	50.156760	554.076647	33.455276	547.363939	-0.044602	-0.041888	1.378299	1.534702
3547944009.571414	41.802931	550.728794	180.247513	50.113135	554.184298	33.492726	547.273291	-0.039506	-0.022978	1.383187	1.554252
3547944010.249893	41.796274	550.721998	180.226456	50.031879	554.351711	33.560670	547.092285	-0.019478	-0.051525	1.402737	1.524927
3547944010.947385	41.804485	550.723456	180.227768	50.044846	554.342359	33.564125	547.104553	-0.049735	-0.071173	1.373412	1.505376
3547944011.609853	41.804141	550.720558	180.195908	49.925039	554.600121	33.683242	546.840996	-0.044602	-0.032373	1.378299	1.544477
3547944012.289333	41.801767	550.724615	180.276077	50.207273	553.941365	33.396262	547.507866	-0.054903	-0.037116	1.368524	1.539589
3547944012.990830	41.795161	550.724946	180.245956	50.099978	554.193379	33.490345	547.256513	-0.060109	-0.041888	1.363636	1.534702
3547944013.669305	41.797926	550.727143	180.197647	49.925561	554.592573	33.670291	546.861712	-0.049735	-0.041888	1.373412	1.534702
3547944014.372802	41.789622	550.724508	180.321564	50.332701	553.555725	33.246542	547.893290	-0.060109	-0.041888	1.363636	1.534702
3547944015.065289	41.798522	550.725897	180.357819	50.438610	553.245594	33.158433	548.206201	-0.049735	-0.046691	1.373412	1.529814
3547944015.767787	41.801254	550.723122	180.302444	50.288645	553.717149	33.313863	547.729094	-0.065353	-0.041888	1.358749	1.534702
3547944016.523321	41.799922	550.721223	180.240128	50.084380	554.238004	33.515464	547.204441	-0.065353	-0.051525	1.358749	1.524927
3547944017.204800	41.801301	550.724386	180.200134	49.938524	554.569589	33.664077	546.879182	-0.065353	-0.051525	1.358749	1.524927
3547944017.868268	41.803821	550.725983	180.270630	50.191679	553.988473	33.415963	547.463494	-0.070634	-0.041888	1.353861	1.534702
3547944018.563760	41.812876	550.719977	180.182541	49.881193	554.707739	33.744558	546.732214	-0.019909	-0.009249	1.353861	1.524927
3547944019.232230	41.803699	550.717923	180.166000	49.804956	554.838588	33.802442	546.597258	-0.019909	-0.000000	1.353861	1.534702
3547944019.985767	41.803753	550.719101	180.344101	50.408465	553.357078	33.199040	548.081123	-0.009883	0.013655	1.363636	1.549365
3547944020.684254	41.797481	550.723966	180.289825	50.246415	553.824854	33.348547	547.623077	-0.009883	-0.013918	1.363636	1.520039
3547944021.397760	41.801401	550.728881	180.250488	50.121851	554.159642	33.480952	547.298119	-0.024977	-0.023348	1.348974	1.510264
3547944022.111260	41.801340	550.729110	180.324448	50.352549	553.535679	33.250131	547.922542	-0.019909	-0.004610	1.353861	1.529814
3547944022.751713	41.804209	550.722838	180.279236	50.219833	553.913022	33.388585	547.532654	-0.019909	0.013655	1.353861	1.549365
3547944023.445203	41.804762	550.725491	180.183121	49.875390	554.708575	33.734133	546.742408	-0.014878	-0.004610	1.358749	1.529814
3547944024.136690	41.790663	550.724106	180.305328	50.286653	553.693644	33.294673	547.754567	-0.019909	-0.009249	1.353861	1.524927
3547944024.774139	41.799775	550.725614	180.250656	50.120800	554.154978	33.478750	547.296249	-0.014878	-0.047463	1.358749	1.485826
