Time	X	Y	Theta	LS_X	LS_Y	RS_X	RS_Y	RsRoL	RsRoR	VL	VR
3547961255.806474	40.255729	551.794635	181.023529	48.607180	548.440047	31.904278	555.149223	-0.031345	-0.009534	1.260997	1.446725
3547961256.448927	40.239760	551.788434	181.015198	48.618869	548.503540	31.860651	555.073329	-0.026020	-0.004751	1.265885	1.451613
3547961257.103390	40.246036	551.795809	180.978165	48.741022	548.823400	31.751050	554.768217	-0.010289	-0.028994	1.280547	1.427175
3547961257.818894	40.256706	551.798534	181.075363	48.423136	548.015755	32.090275	555.581313	-0.010289	-0.000000	1.280547	1.456500
3547961258.513386	40.250003	551.796774	180.981201	48.735924	548.798585	31.764082	554.794964	-0.026020	-0.028994	1.265885	1.427175
3547961259.182856	40.255241	551.790050	180.946213	48.840849	549.090543	31.669633	554.489557	-0.020736	-0.014350	1.270772	1.441838
3547961259.855334	40.252559	551.783042	180.949860	48.828265	549.052243	31.676853	554.513841	-0.042120	0.014063	1.251222	1.471163
3547961260.503789	40.248305	551.792685	180.995697	48.689874	548.671804	31.806735	554.913566	-0.020736	-0.019198	1.270772	1.436950
3547961261.184268	40.251830	551.787785	181.074554	48.421317	548.011611	32.082343	555.563958	-0.020736	-0.033942	1.270772	1.422287
3547961261.923792	40.235793	551.786801	181.030823	48.562555	548.371389	31.909031	555.202212	0.005086	-0.028994	1.295210	1.427175
3547961262.593263	40.246021	551.787275	181.084839	48.376241	547.927284	32.115802	555.647265	-0.031345	-0.024079	1.260997	1.432063
3547961263.267746	40.248883	551.787207	180.960739	48.794372	548.963271	31.703393	554.611142	-0.036711	-0.019198	1.256109	1.436950
3547961263.952223	40.254250	551.785271	180.997742	48.689421	548.647137	31.819079	554.923406	-0.020736	-0.043942	1.270772	1.412512
3547961264.683738	40.239419	551.788768	181.106873	48.282622	547.750590	32.196216	555.826946	-0.031345	-0.019198	1.260997	1.436950
3547961265.355215	40.242708	551.786309	181.041138	48.533797	548.285191	31.951618	555.287427	-0.036711	-0.033942	1.256109	1.422287
3547961266.047700	40.248646	551.778565	180.794632	49.143436	550.406447	31.353855	553.150683	-0.020736	0.009407	1.270772	1.466276
3547961266.730180	40.238809	551.784255	180.965988	48.769357	548.915504	31.708260	554.653007	-0.010289	-0.024079	1.280547	1.432063
3547961267.413665	40.242779	551.787063	180.829727	49.083948	550.103690	31.401611	553.470436	-0.005125	-0.048994	1.285435	1.407625
3547961268.079134	40.234547	551.791088	180.969635	48.754577	548.891246	31.714517	554.690930	-0.026020	-0.033942	1.265885	1.422287
3547961268.748606	40.264583	551.789260	180.883026	49.003516	549.637276	31.525649	553.941245	-0.031345	-0.033942	1.260997	1.422287
3547961269.461107	40.233940	551.789928	180.892288	48.952568	549.557096	31.515313	554.022760	-0.031345	0.009407	1.260997	1.466276
3547961270.120574	40.261025	551.792298	181.047989	48.527933	548.234458	31.994116	555.350137	-0.031345	-0.048994	1.260997	1.407625
3547961270.789044	40.255112	551.784464	180.976730	48.754352	548.824243	31.755871	554.744685	-0.042120	-0.033942	1.251222	1.422287
3547961271.479531	40.251586	551.784342	180.876190	49.005026	549.692146	31.498146	553.876538	-0.047570	-0.038925	1.246334	1.417400
3547961272.139999	40.249967	551.785573	180.907822	48.932860	549.417586	31.567074	554.153560	-0.036711	-0.033942	1.256109	1.422287
3547961272.800465	40.250760	551.782392	180.960052	48.798187	548.964325	31.703334	554.600459	-0.042120	-0.033942	1.251222	1.422287
3547961273.463933	40.245856	551.788592	181.012894	48.632512	548.523013	31.859201	555.054172	-0.047570	-0.048994	1.246334	1.407625
3547961274.120397	40.241034	551.789680	181.035904	48.550335	548.332003	31.931734	555.247357	-0.031345	-0.048994	1.260997	1.407625
3547961274.787865	40.261369	551.787785	180.897202	48.968921	549.512142	31.553818	554.063427	-0.005125	-0.059204	1.285435	1.397849
3547961275.487360	40.235322	551.788363	181.005005	48.647478	548.589045	31.823167	554.987680	-0.047570	-0.048994	1.246334	1.407625
3547961276.160837	40.245328	551.784255	180.935623	48.859041	549.175817	31.631616	554.392694	-0.053064	-0.048994	1.241447	1.407625
3547961276.805290	40.251802	551.794143	180.886185	48.983894	549.614567	31.519709	553.973719	-0.026020	-0.048994	1.265885	1.407625
3547961277.484768	40.232964	551.789522	180.965149	48.765917	548.927931	31.700010	554.651114	-0.053064	-0.048994	1.241447	1.407625
3547961278.167249	40.244065	551.792879	181.011017	48.636834	548.543046	31.851295	555.042712	-0.058601	-0.038925	1.236559	1.417400
3547961278.858737	40.248639	551.797812	181.034668	48.562206	548.350408	31.935071	555.245216	-0.053064	-0.064363	1.241447	1.392962
3547961279.540218	40.245939	551.784693	180.922699	48.892643	549.287795	31.599234	554.281592	-0.042120	-0.024079	1.251222	1.432063
3547961280.250720	45.231916	552.108778	185.550812	46.992104	560.934974	43.471728	543.282582	-0.047570	-0.043942	1.246334	1.412512
3547961280.935205	61.866053	553.013982	178.056305	54.223216	557.766564	69.508890	548.261399	-0.069808	-0.059204	1.226784	1.397849
3547961281.617683	80.315073	550.178354	161.629578	89.196588	551.633929	71.433559	548.722779	-0.047570	-0.054081	1.246334	1.402737
3547961282.364210	98.648486	539.059043	135.239365	100.001264	547.956795	97.295707	530.161291	-0.047570	-0.069558	1.246334	1.388074
3547961283.044690	110.164777	518.752972	103.275742	106.686423	527.053638	113.643130	510.452306	-0.036711	-0.054081	1.256109	1.402737
3547961283.731176	109.384437	496.935569	72.158592	108.503501	505.892351	110.265374	487.978786	-0.058601	-0.054081	1.236559	1.402737
3547961287.129573	38.310124	481.907032	319.298920	46.501045	478.177580	30.119203	485.636483	-0.053064	-0.054081	1.241447	1.402737
3547961287.798046	28.813790	492.912594	302.213928	23.576906	485.593096	34.050673	500.232091	-0.069808	-0.069558	1.226784	1.388074
3547961288.482528	22.297007	505.318266	289.874542	15.547269	499.365029	29.046746	511.271503	-0.069808	-0.085365	1.226784	1.373412
3547961289.151000	18.851033	518.626316	279.735016	20.046913	527.546511	17.655153	509.706122	-0.069808	-0.064363	1.226784	1.392962
3547961290.502955	20.022171	546.706502	255.954239	28.989247	547.475624	11.055095	545.937379	-0.053064	-0.085365	1.241447	1.373412
3547961291.193439	25.619455	560.829769	241.884537	25.456586	569.828295	25.782325	551.831242	-0.075478	-0.069558	1.221896	1.388074
3547961291.865916	34.225984	572.903349	225.268448	41.420191	567.495634	27.031777	578.311065	-0.064182	-0.069558	1.231672	1.388074
