Time	X	Y	Theta	LS_X	LS_Y	RS_X	RS_Y	RsRoL	RsRoR	VL	VR
3547954251.654618	44.802010	551.159408	181.705383	49.171947	543.291521	40.432072	559.027295	-0.014845	-0.037181	1.363636	1.534702
3547954252.377127	58.825313	552.123968	183.246521	51.090473	547.522636	66.560152	556.725301	-0.040309	-0.041962	1.339198	1.529814
3547954253.036594	77.923849	553.346389	183.633011	69.025124	552.000027	86.822575	554.692750	-0.024920	-0.037181	1.353861	1.534702
3547954254.425575	118.524576	559.829328	195.794037	110.877863	555.082983	126.171289	564.575672	-0.024920	-0.046774	1.353861	1.524927
3547954255.104053	139.167854	568.067327	205.202232	146.734813	572.939814	131.600895	563.194840	-0.035142	-0.041962	1.344086	1.529814
3547954255.777530	158.773256	579.548754	215.654709	150.691329	583.508863	166.855183	575.588646	-0.040309	-0.041962	1.339198	1.529814
3547954263.281823	164.017545	579.736483	233.331055	157.237058	573.818290	170.798031	585.654675	-0.040309	-0.023018	1.339198	1.549365
3547954263.969307	164.210253	580.320781	272.369812	156.896069	585.565084	171.524437	575.076478	-0.050756	-0.041962	1.329423	1.529814
3547954264.826912	164.099358	580.686415	334.357025	155.321403	578.699585	172.877314	582.673245	-0.019864	-0.071303	1.358749	1.500489
3547954265.561429	165.095139	580.845985	37.146854	169.816633	573.183903	160.373646	588.508067	-0.035142	-0.041962	1.344086	1.529814
3547954266.272933	158.427526	571.405219	58.382772	149.737718	573.747706	167.117334	569.062733	-0.035142	-0.051617	1.344086	1.520039
3547954267.004449	150.546869	556.604548	66.520855	155.231160	564.289430	145.862578	548.919666	-0.045513	-0.051617	1.334311	1.520039
3547954267.675921	144.414150	538.566522	76.222366	137.808458	532.453844	151.019842	544.679201	-0.030012	-0.037181	1.348974	1.534702
3547954268.332392	141.265104	518.648209	86.760162	149.667827	515.424198	132.862381	521.872221	-0.035142	-0.081340	1.344086	1.490714
3547954269.032879	141.988283	499.847143	99.527946	149.576165	495.007304	134.400401	504.686983	-0.056038	-0.032430	1.324536	1.539589
3547954269.716361	148.037688	481.040563	114.086258	140.518780	476.094249	155.556596	485.986877	-0.035142	-0.037181	1.344086	1.534702
