Time	X	Y	Theta	LS_X	LS_Y	RS_X	RS_Y	RsRoL	RsRoR	VL	VR
3547670888.544665	48.236420	547.989370	177.849777	39.781425	551.073694	56.691415	544.905046	-0.004809	0.008907	1.422287	1.617791
3547670889.230148	48.233713	547.989424	177.916138	40.001855	551.627625	56.465571	544.351223	-0.004809	0.004467	1.422287	1.612903
3547670889.903623	48.239547	547.986509	177.963608	40.189603	552.011232	56.289491	543.961786	0.004776	0.008907	1.432063	1.617791
3547670890.605118	48.239070	547.984839	177.860794	39.818566	551.162122	56.659573	544.807557	0.004776	0.004467	1.432063	1.612903
3547670891.304611	48.237544	547.990670	177.884567	39.894947	551.367218	56.580141	544.614122	0.014232	-0.000000	1.441838	1.608016
3547670891.984089	48.241331	547.991284	177.867783	39.843238	551.227335	56.639425	544.755232	-0.000000	0.039250	1.427175	1.652004
3547670892.681584	48.223104	547.992005	177.850525	39.770417	551.082650	56.675791	544.901360	-0.009651	0.004467	1.417400	1.612903
3547670893.355057	48.227911	547.986175	177.879517	39.868367	551.320544	56.587455	544.651805	-0.009651	-0.018142	1.417400	1.588465
3547670894.019526	48.236969	547.986563	177.842773	39.760580	551.011595	56.713359	544.961531	-0.004809	-0.000000	1.422287	1.608016
3547670894.727024	48.231056	547.983838	177.960098	40.167037	551.980285	56.295076	543.987391	-0.004809	-0.004494	1.422287	1.603128
3547670895.392494	48.236395	547.985137	177.938492	40.087915	551.806430	56.384874	544.163844	-0.019437	-0.013565	1.407625	1.593353
3547670896.047958	48.212172	547.988336	177.738464	39.466887	550.114364	56.957456	545.862308	-0.004809	-0.036737	1.422287	1.568915
3547670896.699416	48.234104	547.992339	177.895752	39.929794	551.461984	56.538414	544.522695	-0.019437	-0.009016	1.407625	1.598240
3547670897.414921	48.236829	547.988950	177.911972	39.989887	551.592829	56.483772	544.385071	-0.009651	-0.018142	1.417400	1.588465
3547670898.065380	48.243371	547.992235	177.780701	39.595654	550.485626	56.891087	545.498844	-0.014527	-0.009016	1.412512	1.598240
3547670898.761873	48.229390	547.990688	177.878372	39.866036	551.315488	56.592745	544.665887	-0.019437	-0.004494	1.407625	1.603128
3547670899.467369	48.227024	547.993305	177.942917	40.095534	551.850618	56.358515	544.135992	-0.004809	0.008907	1.422287	1.617791
3547670900.124835	48.232022	547.988246	177.906998	39.967255	551.551057	56.496789	544.425435	-0.004809	0.004467	1.422287	1.612903
3547670900.789303	48.233541	547.991022	177.937241	40.080286	551.802116	56.386795	544.179927	-0.004809	-0.022748	1.422287	1.583578
3547670901.474785	48.237949	547.982294	177.909943	39.983710	551.569429	56.492189	544.395159	-0.009651	-0.004494	1.417400	1.603128
3547670902.146259	48.233393	547.984031	177.956573	40.155337	551.952030	56.311449	544.016033	-0.024381	-0.013565	1.402737	1.593353
3547670902.826740	48.231239	547.990548	177.891800	39.913282	551.427346	56.549197	544.553749	-0.014527	-0.004494	1.412512	1.603128
3547670903.545248	48.242398	547.991513	177.896027	39.939041	551.463439	56.545755	544.519588	-0.029359	-0.004494	1.397849	1.603128
3547670904.297776	48.240667	547.987597	177.881195	39.886731	551.335993	56.594603	544.639200	-0.019437	-0.004494	1.407625	1.603128
3547670905.007279	48.241181	547.988738	177.912521	39.996219	551.597147	56.486142	544.380330	-0.009651	-0.013565	1.417400	1.593353
3547670905.739794	48.236664	547.984681	177.846527	39.771689	551.041509	56.701639	544.927853	-0.019437	-0.000000	1.407625	1.608016
3547670906.422276	48.232517	547.987177	177.854385	39.791825	551.110430	56.673210	544.863923	-0.019437	-0.004494	1.407625	1.603128
3547670907.143786	48.233106	547.988368	177.826416	39.708371	550.874350	56.757841	545.102387	-0.024381	-0.009016	1.402737	1.598240
3547670907.809255	48.234424	547.982032	177.862564	39.819558	551.174214	56.649290	544.789850	-0.009651	-0.032045	1.417400	1.573803
3547670908.505745	48.238736	547.985737	177.876770	39.870065	551.297134	56.607406	544.674340	-0.019437	-0.018142	1.407625	1.588465
3547670909.255275	48.229584	547.985895	177.941315	40.091924	551.830175	56.367244	544.141615	-0.024381	-0.004494	1.402737	1.603128
3547670909.938756	48.224694	547.984771	177.928253	40.037518	551.722436	56.411871	544.247106	-0.014527	-0.013565	1.412512	1.593353
3547670910.620238	48.233113	547.987826	177.881287	39.879484	551.336987	56.586743	544.638665	-0.019437	-0.013565	1.407625	1.593353
3547670911.343750	48.229753	547.981608	177.897766	39.932448	551.467972	56.527058	544.495245	-0.034373	-0.022748	1.392962	1.583578
3547670912.030231	48.228180	547.987334	177.921234	40.014971	551.667441	56.441390	544.307228	-0.024381	-0.009016	1.402737	1.598240
3547670912.681692	48.233422	547.985647	177.902908	39.954154	551.514631	56.512690	544.456663	-0.009651	-0.013565	1.417400	1.593353
3547670913.311136	48.236750	547.986631	177.805298	39.652974	550.691956	56.820527	545.281306	-0.049626	-0.000000	1.378299	1.608016
3547670913.979607	48.641866	547.963115	178.980255	47.828243	556.926263	49.455489	538.999967	-0.004809	-0.018142	1.422287	1.588465
3547670915.321557	76.343115	547.043195	171.189667	67.346428	546.799029	85.339803	547.287361	-0.009651	-0.000000	1.417400	1.608016
3547670916.037059	93.931724	541.517200	155.157974	102.383415	544.610568	85.480033	538.423832	0.004776	-0.000000	1.432063	1.608016
3547670917.429040	121.613456	513.294368	112.533726	126.421626	505.686379	116.805286	520.902357	-0.024381	-0.018142	1.402737	1.588465
3547670918.103518	125.937866	493.571828	90.728081	122.615416	501.936117	129.260316	485.207539	-0.004809	-0.009016	1.422287	1.598240
3547670919.415445	116.287688	460.084028	56.301853	118.486535	451.356767	114.088841	468.811288	-0.009651	-0.013565	1.417400	1.593353
3547670920.101928	105.757692	447.853629	42.004814	114.023621	451.413745	97.491764	444.293513	-0.049626	-0.000000	1.378299	1.608016
3547670920.812427	92.293396	438.674135	27.160288	84.215982	442.643440	100.370810	434.704830	-0.009651	0.004467	1.417400	1.612903
3547670921.493910	76.143988	432.454310	13.970349	67.268924	430.959905	85.019051	433.948715	-0.009651	-0.009016	1.417400	1.598240
3547670922.189401	61.020027	429.625798	5.225596	68.860597	425.207036	53.179457	434.044560	-0.034373	-0.018142	1.392962	1.588465
3547670922.856871	44.435912	429.317614	357.507507	49.767662	422.066928	39.104163	436.568300	-0.009651	-0.018142	1.417400	1.588465
3547670923.492320	28.429336	431.422943	349.580933	35.274217	437.266537	21.584454	425.579348	-0.004809	0.051873	1.422287	1.666667
3547670924.155786	15.824222	434.786468	325.675964	23.629560	430.305765	8.018883	439.267170	0.018912	-0.022748	1.446725	1.583578
3547670924.824260	15.063104	436.402120	259.583008	6.779222	439.920259	23.346986	432.883981	0.004776	0.004467	1.432063	1.612903
3547670925.520751	17.317136	438.182391	203.702332	12.992903	446.075490	21.641369	430.289292	-0.004809	-0.004494	1.422287	1.603128
3547670926.210237	29.450420	441.914659	191.086990	24.744996	449.586620	34.155845	434.242698	-0.009651	0.008907	1.417400	1.617791
3547670926.888716	46.636873	444.269550	180.871460	55.400112	442.218783	37.873634	446.320317	-0.014527	0.008907	1.412512	1.617791
3547670927.586208	64.443749	443.009415	169.653305	64.378034	434.009655	64.509464	452.009175	-0.009651	-0.050990	1.417400	1.554252
3547670928.246675	82.954137	437.054490	154.253784	85.748852	445.609580	80.159422	428.499400	-0.019437	-0.013565	1.407625	1.593353
3547670928.921154	98.597828	426.448863	137.692886	103.203345	418.716515	93.992310	434.181212	-0.014527	-0.000000	1.412512	1.608016
