Time	X	Y	Theta	LS_X	LS_Y	RS_X	RS_Y	RsRoL	RsRoR	VL	VR
3547663175.824904	36.879994	548.959815	178.620026	32.959182	557.060879	40.800806	540.858751	0.004541	-0.014350	1.564027	1.441838
3547663176.467357	36.876931	548.949877	178.677078	33.424435	557.261331	40.329428	540.638423	-0.013795	-0.009534	1.544477	1.446725
3547663177.172856	36.871867	548.955532	178.633835	33.063295	557.109965	40.680440	540.801099	-0.000000	-0.009534	1.559140	1.446725
3547663177.841330	36.869600	548.958321	178.614288	32.902374	557.036757	40.836826	540.879886	-0.027855	-0.024079	1.529814	1.432063
3547663178.527812	36.876501	548.952897	178.637100	33.094575	557.119722	40.658426	540.786071	0.004541	-0.009534	1.564027	1.446725
3547663179.203287	36.878016	548.958059	178.639404	33.114918	557.133577	40.641114	540.782541	-0.009168	-0.028994	1.549365	1.427175
3547663179.874762	36.881760	548.955460	178.646866	33.179768	557.158829	40.583752	540.752091	-0.004570	-0.028994	1.554252	1.427175
3547663180.522218	36.884476	548.948226	178.657227	33.267674	557.189509	40.501278	540.706943	-0.004570	-0.009534	1.554252	1.446725
3547663181.215708	36.876781	548.955374	178.584366	32.669640	556.911502	41.083921	540.999246	-0.000000	-0.009534	1.559140	1.446725
3547663181.885181	36.877836	548.954214	178.597870	32.778516	556.966428	40.977157	540.942000	-0.009168	-0.024079	1.549365	1.432063
3547663182.537641	36.876766	548.954038	178.697906	33.598119	557.335594	40.155414	540.572483	-0.000000	-0.009534	1.559140	1.446725
3547663183.226129	36.879531	548.950351	178.737961	33.939141	557.456473	39.819921	540.444229	-0.018452	-0.014350	1.539589	1.441838
3547663183.925619	36.874153	548.954828	178.671173	33.372636	557.245750	40.375669	540.663906	-0.000000	-0.014350	1.559140	1.441838
3547663184.610104	36.874481	548.955550	178.678268	33.431879	557.271107	40.317083	540.639993	-0.009168	-0.019198	1.549365	1.436950
3547663185.254558	36.878755	548.955690	178.686325	33.503260	557.298713	40.254251	540.612667	-0.004570	-0.024079	1.554252	1.432063
3547663185.924030	36.885254	548.952283	178.675674	33.421093	557.258882	40.349415	540.645684	-0.004570	-0.019198	1.554252	1.436950
3547663186.576490	36.880430	548.956548	178.681015	33.460680	557.281529	40.300180	540.631567	-0.018452	-0.033942	1.539589	1.422287
3547663187.251966	36.867495	548.944661	178.698593	33.594603	557.328465	40.140386	540.560856	-0.013795	-0.024079	1.544477	1.432063
3547663187.916434	36.885275	548.948190	178.692764	33.563572	557.312775	40.206979	540.583605	-0.009168	-0.033942	1.549365	1.422287
3547663188.593914	36.875542	548.951597	178.666824	33.338003	557.227213	40.413081	540.675981	-0.004570	-0.028994	1.554252	1.427175
3547663189.276393	36.876743	548.952649	178.708115	33.683825	557.367236	40.069661	540.538062	-0.013795	-0.014350	1.544477	1.441838
3547663189.979891	36.878201	548.951615	178.688766	33.523084	557.302854	40.233317	540.600376	-0.004570	-0.014350	1.554252	1.441838
3547663190.651364	36.875249	548.951877	178.669846	33.362730	557.238143	40.387769	540.665611	-0.013795	-0.024079	1.544477	1.432063
3547663191.311830	36.874941	548.953055	178.670837	33.370641	557.242800	40.379240	540.663309	-0.004570	0.014063	1.554252	1.471163
3547663191.972298	36.878999	548.951105	178.686981	33.508979	557.296341	40.249020	540.605869	-0.027855	-0.024079	1.529814	1.432063
3547663192.676792	36.873307	548.949332	178.727844	33.847016	557.425272	39.899598	540.473391	0.013538	-0.048994	1.573803	1.407625
3547663193.355272	36.880812	548.946854	178.812057	34.578189	557.647310	39.183435	540.246399	-0.018452	-0.043942	1.539589	1.412512
3547663194.020741	36.882211	548.954756	178.628418	33.029523	557.088439	40.734899	540.821074	-0.023139	-0.028994	1.534702	1.427175
3547663194.720240	36.883396	548.948998	178.653046	33.232169	557.175087	40.534622	540.722908	-0.018452	-0.024079	1.539589	1.432063
3547663195.426734	36.881031	548.951051	178.672226	33.388246	557.245655	40.373817	540.656448	-0.027855	-0.038925	1.529814	1.417400
3547663196.072188	36.877170	548.953284	178.614731	32.913520	557.033475	40.840821	540.873094	-0.009168	-0.069558	1.549365	1.388074
3547663196.751668	36.878274	548.949525	178.670914	33.374607	557.239538	40.381941	540.659512	-0.004570	0.004719	1.554252	1.461388
3547663197.435150	36.876574	548.948786	178.655090	33.242175	557.182324	40.510973	540.715248	-0.009168	-0.028994	1.549365	1.427175
3547663198.133644	36.877632	548.950893	178.695175	33.576104	557.323462	40.179159	540.578324	-0.000000	-0.038925	1.559140	1.417400
