Time	X	Y	Theta	LS_X	LS_Y	RS_X	RS_Y	RsRoL	RsRoR	VL	VR
3547512257.001925	34.630068	551.374135	179.240250	36.147993	560.245206	33.112143	542.503064	-0.014812	0.013827	1.368524	1.515152
3547512257.676400	34.628030	551.374541	179.219131	35.958290	560.275687	33.297770	542.473394	-0.004902	0.009248	1.378299	1.510264
3547512258.333862	34.637803	551.375962	179.229019	36.056008	560.263521	33.219598	542.488404	-0.009839	-0.018862	1.373412	1.480938
3547512259.011346	34.631283	551.377560	179.214890	35.923773	560.284269	33.338793	542.470851	-0.019820	0.004639	1.363636	1.505376
3547512259.667804	34.630806	551.373047	179.168243	35.506577	560.330336	33.755034	542.415758	-0.009839	-0.000000	1.373412	1.500489
3547512260.337275	34.635753	551.373747	179.215179	35.930825	560.280081	33.340681	542.467413	-0.004902	0.009248	1.378299	1.510264
3547512260.969723	34.632215	551.370958	179.152313	35.365190	560.341061	33.899240	542.400855	-0.019820	0.004639	1.363636	1.505376
3547512261.700237	34.630237	551.375539	179.229477	36.052510	560.262447	33.207963	542.488630	-0.009839	0.004639	1.373412	1.505376
3547512262.369709	34.631976	551.373995	179.208969	35.871712	560.288200	33.392240	542.459790	-0.029944	-0.004669	1.353861	1.495601
3547512263.095221	34.634128	551.373169	179.252380	36.259552	560.225174	33.008705	542.521164	-0.009839	-0.000000	1.373412	1.500489
3547512263.803723	34.627113	551.375154	179.334854	36.976243	560.063169	32.277984	542.687140	-0.014812	0.018376	1.368524	1.520039
3547512264.486202	34.635139	551.365091	179.176361	35.583593	560.314976	33.686685	542.415206	-0.014812	-0.028480	1.368524	1.471163
3547512265.172688	34.632987	551.369166	179.190903	35.711482	560.304313	33.554492	542.434019	-0.014812	-0.004669	1.368524	1.495601
3547512265.869179	34.632007	551.368832	179.159958	35.433533	560.333070	33.830480	542.404595	-0.055907	-0.023655	1.329423	1.476051
3547512266.602695	34.627140	551.376120	179.205109	35.832454	560.295045	33.421826	542.457196	-0.014812	-0.014100	1.368524	1.485826
