Time	X	Y	Theta	LS_X	LS_Y	RS_X	RS_Y	RsRoL	RsRoR	VL	VR
3547427374.697852	39.117521	553.394508	181.504700	44.968135	546.555625	33.266907	560.233391	-0.009496	-0.009045	1.456500	1.588465
3547427375.382335	38.962722	553.366939	180.935074	47.577866	550.763232	30.347578	555.970646	-0.023982	-0.013610	1.441838	1.583578
3547427376.041800	38.959864	553.370766	180.933548	47.578971	550.780208	30.340757	555.961324	-0.004732	-0.027473	1.461388	1.568915
3547427376.703266	38.958766	553.366375	180.980591	47.446515	550.373365	30.471016	556.359385	-0.014292	-0.027473	1.451613	1.568915
3547427377.360730	38.964639	553.365251	180.953094	47.531467	550.606726	30.397812	556.123777	-0.019121	-0.013610	1.446725	1.583578
3547427378.080238	38.955276	553.373347	180.918289	47.612907	550.914603	30.297645	555.832092	-0.009496	-0.009045	1.456500	1.588465
3547427378.756715	38.955692	553.365812	180.920181	47.608656	550.890691	30.302729	555.840933	-0.028876	-0.018202	1.436950	1.578690
3547427379.425187	38.960105	553.368077	180.864212	47.737977	551.380879	30.182232	555.355275	-0.023982	-0.032152	1.441838	1.564027
3547427380.108668	38.954299	553.368695	180.961426	47.497848	550.538892	30.410751	556.198497	-0.009496	-0.018202	1.456500	1.578690
3547427380.812166	38.965257	553.367147	180.858963	47.753439	551.426051	30.177074	555.308243	-0.028876	-0.009045	1.436950	1.588465
3547427381.482638	38.957548	553.368677	180.914322	47.624866	550.944299	30.290231	555.793054	-0.019121	-0.009045	1.446725	1.588465
3547427382.131095	38.967454	553.369553	181.032242	47.289361	549.942328	30.645547	556.796777	-0.009496	-0.018202	1.456500	1.578690
3547427382.785556	38.957451	553.370012	180.933441	47.576835	550.780375	30.338068	555.959650	-0.048791	-0.018202	1.417400	1.578690
3547427383.470041	38.960403	553.367165	180.860153	47.746268	551.415611	30.174537	555.318719	-0.019121	-0.018202	1.446725	1.578690
3547427384.156524	38.959193	553.366005	180.992661	47.410200	550.270771	30.508185	556.461239	-0.019121	-0.018202	1.446725	1.578690
3547427384.849017	38.953366	553.370942	180.902817	47.648002	551.046441	30.258730	555.695443	-0.023982	-0.027473	1.441838	1.568915
3547427385.502474	38.956209	553.365549	180.955948	47.515131	550.582590	30.397288	556.148509	-0.019121	-0.022823	1.446725	1.573803
3547427386.142925	38.962916	553.367657	180.930954	47.588714	550.799465	30.337118	555.935848	0.009370	-0.027473	1.476051	1.568915
3547427386.821406	38.967289	553.360879	180.945023	47.556103	550.671592	30.378474	556.050165	-0.019121	-0.027473	1.446725	1.568915
3547427387.472864	38.949334	553.363126	180.901657	47.646660	551.048709	30.252008	555.677543	-0.038765	-0.027473	1.427175	1.568915
3547427388.089303	38.971841	553.369061	180.879715	47.717852	551.246024	30.225830	555.492098	-0.023982	-0.027473	1.441838	1.568915
3547427388.758771	38.953764	553.366655	180.800293	47.840645	551.944206	30.066884	554.789104	-0.019121	-0.046367	1.446725	1.549365
3547427389.414234	38.966463	553.366903	180.893127	47.683213	551.126755	30.249713	555.607051	-0.023982	-0.032152	1.441838	1.564027
3547427390.167766	38.965734	553.369782	180.959320	47.515222	550.557977	30.416246	556.181588	-0.043761	-0.051165	1.422287	1.544477
3547427390.811225	38.953140	553.364426	180.868683	47.722040	551.338003	30.184239	555.390848	-0.053856	-0.027473	1.412512	1.568915
3547427391.476689	38.953265	553.362566	180.892578	47.671245	551.127207	30.235286	555.597925	-0.023982	-0.046367	1.441838	1.549365
3547427392.145161	38.966395	553.366971	181.000031	47.394361	550.209538	30.538428	556.524404	-0.028876	-0.036861	1.436950	1.559140
3547427392.828642	38.957412	553.369344	180.891891	47.676924	551.139972	30.237900	555.598717	-0.038765	-0.032152	1.427175	1.564027
3547427393.490112	38.958058	553.364092	180.865677	47.733010	551.364037	30.183106	555.364146	0.000000	-0.036861	1.466276	1.559140
3547427394.114550	38.964140	553.363758	180.902237	47.660122	551.044299	30.268158	555.683217	-0.038765	-0.032152	1.427175	1.564027
3547427394.740992	38.959372	553.357209	180.851028	47.762679	551.485904	30.156065	555.228515	-0.028876	-0.055993	1.436950	1.539589
3547427395.422472	38.965490	553.365022	180.898315	47.670501	551.079682	30.260479	555.650362	-0.048791	-0.032152	1.417400	1.564027
3547427396.119964	43.698989	553.576115	182.394241	42.071191	544.724546	45.326788	562.427684	-0.033804	-0.032152	1.432063	1.564027
3547427397.460917	77.390638	553.728480	179.002716	76.778525	562.707640	78.002752	544.749320	-0.038765	-0.051165	1.427175	1.544477
3547427398.094357	96.003383	553.207056	179.016495	95.515045	562.193798	96.491722	544.220314	-0.048791	-0.036861	1.417400	1.559140
3547427398.716797	114.657387	553.334519	181.931229	117.154492	544.687875	112.160282	561.981164	-0.043761	-0.041599	1.422287	1.554252
3547427399.384267	130.438773	554.689341	184.854622	126.129120	562.590410	134.748426	546.788272	-0.043761	-0.041599	1.422287	1.554252
3547427400.065748	148.043609	557.014778	189.826988	139.300216	554.880986	156.787003	559.148570	-0.048791	-0.041599	1.417400	1.554252
3547427400.726214	165.084469	561.068765	193.783417	172.634906	556.170714	157.534033	565.966817	-0.048791	-0.051165	1.417400	1.544477
3547427401.410697	180.503786	565.280338	196.825760	172.505175	569.406137	188.502397	561.154538	-0.058956	-0.055993	1.407625	1.539589
