Time	X	Y	Theta	LS_X	LS_Y	RS_X	RS_Y	RsRoL	RsRoR	VL	VR
3547658655.436469	37.064331	549.923991	182.708450	32.780524	542.008879	41.348139	557.839103	-0.033147	-0.013255	1.480938	1.666667
3547658656.124953	38.827931	548.652608	177.649963	29.928962	549.997359	47.726900	547.307856	0.004613	-0.017725	1.520039	1.661779
3547658656.853467	38.818198	548.654873	177.680771	29.964874	550.273098	47.671522	547.036648	-0.028318	-0.004392	1.485826	1.676442
3547658657.519936	38.825307	548.652116	177.670944	29.956508	550.183265	47.694105	547.120966	-0.023521	-0.004392	1.490714	1.676442
3547658658.169395	38.830085	548.651326	177.784973	30.193100	551.181641	47.467070	546.121011	-0.018755	-0.017725	1.495601	1.661779
3547658658.832863	38.820388	548.651150	177.718842	30.035071	550.605173	47.605705	546.697127	-0.023521	-0.008811	1.490714	1.671554
3547658659.517346	38.822122	548.653153	177.720764	30.040578	550.624064	47.603666	546.682243	-0.033147	-0.022222	1.480938	1.656891
3547658660.173809	38.833004	548.655225	177.750610	30.114187	550.887314	47.551822	546.423136	-0.028318	-0.022222	1.485826	1.656891
3547658660.869300	38.823185	548.659070	177.737595	30.076054	550.777491	47.570315	546.540649	-0.033147	-0.013255	1.480938	1.666667
3547658661.500745	38.833639	548.652712	177.662125	29.951682	550.105584	47.715597	547.199840	-0.047826	-0.022222	1.466276	1.656891
3547658662.186228	38.832124	548.655437	177.671387	29.964005	550.190511	47.700244	547.120363	-0.028318	0.008709	1.485826	1.691105
3547658662.875716	38.829496	548.654187	177.718735	30.043971	550.607272	47.615022	546.701103	-0.033147	-0.022222	1.480938	1.656891
3547658663.534183	38.828089	548.652414	177.756927	30.123546	550.939536	47.532632	546.365292	-0.038007	0.004367	1.476051	1.686217
3547658664.185641	38.827098	548.656155	177.724442	30.052861	550.659345	47.601335	546.652965	0.000000	-0.022222	1.515152	1.656891
3547658664.840100	38.826947	548.658930	177.705338	30.016045	550.494141	47.637850	546.823719	-0.033147	-0.026745	1.480938	1.652004
3547658665.522583	38.827852	548.653803	177.645966	29.923578	549.962968	47.732126	547.344639	-0.038007	-0.040477	1.476051	1.637341
3547658666.170039	38.818966	548.653222	177.627167	29.891657	549.794775	47.746276	547.511669	-0.038007	-0.026745	1.476051	1.652004
3547658666.834508	38.820449	548.654679	177.662735	29.939380	550.112972	47.701518	547.196387	-0.038007	-0.031295	1.476051	1.647116
3547658667.465953	38.831159	548.654047	177.651779	29.934646	550.014955	47.727671	547.293140	-0.052785	-0.026745	1.461388	1.652004
3547658668.138428	38.826089	548.653803	177.682922	29.976267	550.291072	47.675911	547.016534	-0.038007	-0.026745	1.476051	1.652004
3547658668.814907	38.833808	548.650184	177.758560	30.133011	550.951515	47.534606	546.348853	-0.047826	-0.049768	1.466276	1.627566
3547658669.480374	38.825666	548.651398	177.740646	30.085041	550.796503	47.566290	546.506292	-0.047826	-0.035872	1.466276	1.642229
3547658670.151853	38.822923	548.652855	177.782089	30.178677	551.158252	47.467169	546.147459	-0.042900	-0.031295	1.471163	1.647116
3547658670.800306	38.829830	548.653836	177.733505	30.074110	550.736469	47.585551	546.571202	-0.038007	-0.049768	1.476051	1.627566
3547658671.441759	38.825045	548.648641	177.711700	30.025998	550.539877	47.624091	546.757404	-0.038007	-0.008811	1.476051	1.671554
3547658672.094219	38.811901	548.654295	177.758514	30.110998	550.955228	47.512804	546.353363	-0.033147	-0.054456	1.480938	1.622678
3547658672.764692	38.826840	548.652062	177.768066	30.148312	551.035999	47.505367	546.268125	-0.014021	-0.035872	1.500489	1.642229
3547658673.421154	38.823113	548.650730	177.769699	30.148489	551.048834	47.497737	546.252627	-0.028318	-0.031295	1.485826	1.647116
3547658674.083621	38.821648	548.653013	177.760880	30.126212	550.974518	47.517085	546.331509	-0.004643	-0.000000	1.510264	1.681329
3547658674.763104	39.091801	548.642616	182.450546	36.968458	539.896679	41.215144	557.388553	-0.038007	-0.026745	1.476051	1.652004
3547658675.439578	47.515969	550.269413	198.536514	52.717245	557.614256	42.314693	542.924569	-0.033147	-0.013255	1.480938	1.666667
3547658676.060017	60.680274	556.503308	211.522095	68.420813	561.095046	52.939736	551.911569	-0.047826	-0.026745	1.466276	1.652004
3547658676.723485	72.806829	565.422535	222.379745	67.194475	572.458264	78.419184	558.386807	-0.014021	-0.026745	1.500489	1.652004
3547658677.411972	83.112954	577.293278	235.754684	84.326366	586.211104	81.899541	568.375451	-0.023521	-0.022222	1.490714	1.656891
3547658679.400373	96.276756	580.015209	153.213852	90.314009	586.756548	102.239504	573.273871	-0.009317	-0.013255	1.505376	1.666667
3547658680.076852	111.119888	573.031585	159.367432	104.335879	578.945740	117.903897	567.117431	-0.042900	-0.040477	1.471163	1.637341
3547658680.764336	128.708047	568.468407	171.839035	121.394849	573.714085	136.021245	563.222730	-0.052785	-0.073494	1.461388	1.603128
3547658681.442815	149.540670	568.714085	190.884636	143.389372	575.283829	155.691967	562.144340	0.040480	-0.000000	1.559140	1.681329
3547658682.117289	168.594776	576.443823	211.998871	177.579311	576.971220	159.610242	575.916426	-0.047826	-0.054456	1.466276	1.622678
3547658684.149726	183.840851	581.713009	113.962708	176.988823	575.877796	190.692880	587.548221	-0.062802	-0.049768	1.451613	1.627566
3547658684.811191	190.749315	569.651089	125.205994	194.726390	561.577498	186.772240	577.724680	-0.057776	-0.054456	1.456500	1.622678
3547658685.474658	201.966125	557.272053	138.986908	195.786535	550.728914	208.145715	563.815191	-0.057776	-0.059173	1.456500	1.617791
3547658686.145133	217.740729	547.860219	159.874054	214.678575	556.323269	220.802883	539.397170	-0.052785	-0.045109	1.461388	1.632454
3547658686.854631	236.582422	545.580845	186.927185	245.582396	545.559045	227.582448	545.602644	-0.047826	-0.040477	1.466276	1.637341
3547658687.523105	250.579972	549.933958	207.097412	252.786572	541.208654	248.373373	558.659261	-0.038007	-0.059173	1.476051	1.617791
3547658688.199582	262.908369	560.861777	233.700760	254.447531	557.793519	271.369208	563.930036	-0.042900	-0.035872	1.471163	1.642229
3547658705.705932	283.762122	582.241763	9.661642	285.874021	590.990470	281.650223	573.493055	-0.033147	-0.026745	1.480938	1.652004
3547658706.377409	274.580859	579.037121	28.395239	275.666355	587.971420	273.495364	570.102822	-0.038007	-0.035872	1.476051	1.642229
3547658714.688274	257.310329	541.941857	84.168320	251.830166	549.081032	262.790492	534.802683	-0.052785	-0.040477	1.461388	1.637341
3547658715.346733	257.140652	526.434185	94.485428	255.021894	517.687136	259.259411	535.181234	-0.052785	-0.040477	1.461388	1.637341
3547658716.024211	260.200966	511.576664	107.540558	254.223270	504.848577	266.178662	518.304751	-0.042900	-0.049768	1.471163	1.627566
